match_id,team_id,player_id,minute,half,x,y,distance,angle,is_header,is_right_foot,is_left_foot,is_other_body,shot_type_Open_Play,shot_type_Free_Kick,shot_type_Penalty,shot_type_Corner,shot_type_Throw_In,shot_type_Set_Piece,first_time,one_on_one,deflected,redirected,under_pressure,n_defenders,n_attackers,gk_distance,big_chance,dist_bin,angle_bin,xg_target,is_goal,outcome,play_pattern,technique
3754296,36,3233.0,72,2,99.7,22.5,26.8,0.2077,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,8,4,2.12,0,5,0,0.0245,0,Saved,Regular Play,Normal
3754296,36,3598.0,74,2,109.0,37.3,11.33,0.6113,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,11,4,0.85,0,2,2,0.0468,0,Saved,From Corner,Normal
3754296,1,3668.0,78,2,94.6,36.2,25.68,0.2802,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,3,4.79,0,5,1,0.0415,0,Saved,From Throw In,Normal
3754296,36,3087.0,81,2,101.1,52.0,22.39,0.2764,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,5,3.23,0,4,1,0.0442,1,Goal,From Goal Kick,Normal
3754296,1,3517.0,82,2,109.7,29.4,14.78,0.3523,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,6,2,1.56,1,2,1,0.3012,0,Off T,From Kick Off,Lob
3754296,36,3598.0,83,2,104.0,47.3,17.59,0.3769,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,4,2.06,0,3,1,0.111,0,Blocked,From Goal Kick,Normal
3754296,36,3598.0,85,2,109.5,37.7,10.75,0.6451,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,11,6,1.06,0,2,2,0.0562,0,Off T,From Corner,Normal
3754296,36,3087.0,86,2,106.8,35.3,14.01,0.4859,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,10,4,1.3,1,2,1,0.3509,0,Off T,Regular Play,Normal
3754296,36,3054.0,89,2,89.1,49.3,32.27,0.2166,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,11,9,5.8,0,6,0,0.0182,0,Blocked,From Corner,Normal
3753983,1,3498.0,7,1,107.6,28.2,17.12,0.3139,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,9,6,0.81,0,3,1,0.0586,0,Off T,From Throw In,Normal
3753983,1,5581.0,15,1,99.8,52.8,23.91,0.2588,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,8,5,4.98,0,4,1,0.0401,0,Off T,From Throw In,Normal
3753983,26,20521.0,26,1,110.4,45.9,11.27,0.5541,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,7,3,1.3,0,2,2,0.1179,0,Saved,Regular Play,Normal
3753983,1,3604.0,28,1,104.5,46.9,16.97,0.392,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,7,4,5.98,0,3,1,0.2034,0,Off T,From Free Kick,Normal
3753983,26,3944.0,31,1,100.1,21.1,27.44,0.1944,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,11,5,12.38,0,5,0,0.0125,0,Blocked,From Free Kick,Normal
3753983,26,3057.0,31,1,109.2,38.5,10.9,0.6431,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,10,3,1.5,0,2,2,0.0467,0,Off T,From Free Kick,Normal
3753983,1,5581.0,36,1,95.4,43.4,24.83,0.29,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,8,4,2.98,0,4,1,0.046,0,Saved,From Free Kick,Normal
