match_id,statsbomb_xg,pred_xg,goals,shots
3825861,2.6317,2.8913718858216213,3.0,29
3825865,2.0137,2.6127951022658524,2.0,28
3825868,3.0042,3.2725419194761773,3.0,28
3825870,1.8526,2.02376129869263,3.0,16
3825878,1.5311,1.7243974296525937,1.0,25
3825879,2.4521,2.922773794304972,3.0,27
3825888,3.1506000000000003,3.2777776597644497,2.0,27
3825889,3.4538,3.3466135598015274,2.0,28
3825894,1.5128,2.196227622586429,2.0,24
3825897,1.7947,2.0968775202635292,3.0,15
3825901,3.9381999999999997,4.222314384614033,5.0,32
3825903,2.057,2.6751574679593237,1.0,30
3825904,3.4539999999999997,2.8509705263890677,2.0,28
3825906,2.4053,2.531728634862314,2.0,17
3829416,4.0221,3.7691955782493336,3.0,23
3829418,0.6352,1.0976217503973056,0.0,20
3829420,2.9431000000000003,3.6141856246788753,3.0,27
3829423,1.5259,1.9859112303500486,0.0,17
3829428,2.4622,2.2365246408398973,1.0,22
3829430,1.7803,2.087466509341238,1.0,30
3829434,2.1363,2.1721137721723207,2.0,25
3829435,1.2157,1.571984782712843,3.0,21
3829439,2.5542,2.6380842447158503,2.0,25
3829443,3.0734,2.259096512431699,2.0,25
3829445,1.0937,1.2790453813204832,2.0,17
3829449,3.4303,2.823264654709596,3.0,20
3829454,1.3876,1.4368486077958655,0.0,23
3829459,1.7269,2.3444854399814665,1.0,25
3829463,2.7476,2.8250986114799197,2.0,24
3829467,2.4523,2.3468635931338477,3.0,19
3829468,1.7752,1.8725985466726072,3.0,23
3829469,3.3757,3.3788033687133026,5.0,29
3829471,3.227,3.6603000970620685,2.0,27
3829476,1.9592,1.385495075142226,2.0,18
3829479,2.2681,2.1883913771042396,2.0,23
3829480,1.6212,1.7617463397266395,0.0,26
3829483,2.2748,1.9559731611704951,5.0,22
3829489,1.2138,1.3913741704348739,3.0,22
3829500,4.939,4.451752230015802,3.0,29
3829501,2.4697,2.391064360407348,2.0,22
3829511,1.5726,1.7241143373336185,0.0,22
3829514,1.544,1.7940328766431373,0.0,21
3829519,4.8805000000000005,4.016821329430995,4.0,35
3829520,2.3045,3.0535706121763413,1.0,29
3857255,2.0155,1.6305986699440578,3.0,18
3857256,4.2925,3.462038327955001,5.0,26
3857257,1.2068,1.6159636623480718,1.0,22
3857262,2.3725,1.999312205163202,3.0,25
3857265,1.667,1.8481951223118636,0.0,17
3857271,3.4428,3.224727216730825,8.0,21
3857281,2.8971,2.5477368859256915,5.0,21
3857286,1.4582,1.3596059377280159,2.0,11
3857287,0.9103,0.8264454425174279,0.0,17
3857292,5.351,5.439300724373933,5.0,38
3869117,3.1339,2.984282170883948,4.0,29
3869118,1.9928000000000001,2.6796088294573677,3.0,18
3869151,1.9073,2.2121056068192186,2.0,19
3878547,2.9002,4.171815113183776,3.0,39
3878557,2.3704,3.0488562901430694,1.0,30
3878559,3.1301,3.2625201551133465,2.0,39
3878599,2.5914,2.02003648962103,4.0,19
3878606,3.2656,3.5916604039977558,2.0,31
3878609,2.6494,2.5572687348145298,1.0,20
3879555,2.7767,3.849315847226691,2.0,31
3879559,2.4919,2.808586666110963,4.0,22
3879561,3.3615,3.0649830336547716,3.0,34
3879566,2.8911,2.604344940150723,2.0,28
3879572,2.0508,2.39818414589325,3.0,23
3879576,2.3279,2.2376108456677106,2.0,34
3879588,1.1524,1.1003362353552228,2.0,15
3879598,2.5432,2.888196899298353,1.0,30
3879603,1.4271,1.7157104295827639,0.0,20
3879606,2.2521,2.626856773575731,2.0,25
3879608,1.1142,1.6056959661446701,2.0,22
3879618,1.6689,2.2194160388039395,1.0,26
3879623,1.9371,2.8119051155822676,4.0,33
3879627,1.136,1.6806709527844659,2.0,17
3879630,2.0625999999999998,2.2752185939090968,3.0,29
3879631,3.5011,4.161519989727512,4.0,29
3879634,1.9556,2.593890463722666,3.0,24
3879635,1.7723,1.9789638989644698,3.0,24
3879642,1.4552,1.8490422737467123,0.0,31
3879662,0.8902,1.3600007418015794,2.0,21
3879669,2.1441,2.3326321600281945,3.0,26
3879673,3.1726,3.863798473067807,3.0,38
3879674,3.633,4.056271852191595,1.0,28
3879677,2.5562,3.0106325186754184,4.0,28
3879680,1.5724,1.4589662977335724,1.0,24
